Month,LME Zinc Cash-Settlement,LME Zinc 3-month,LME Zinc stock
2024 April,"2,641.77","2,675.55","260,909"
2024 March,"2,462.40","2,504.68","270,190"
2024 February,"2,364.45","2,391.88","244,420"
2024 January,"2,521.48","2,537.77","206,789"
2024 December,"2,501.71","2,509.92","218,712"
2024 November,"2,543.77","2,550.59","130,439"
2024 October,"2,449.20","2,467.02","85,613"
2024 September,"2,488.14","2,513.00","125,798"
2023 August,"2,401.02","2,404.55","121,252"
2023 July,"2,396.60","2,409.48","82,273"
2023 June,"2,368.11","2,377.05","82,715"
2023 May,"2,477.70","2,490.23","54,306"
2023 April,"2,772.81","2,765.42","48,253"
2023 March,"2,956.26","2,933.80","38,380"
2023 February,"3,143.75","3,112.98","25,346"
2023 January,"3,289.38","3,269.67","21,037"
2024 December,"3,128.25","3,104.05","37,104"
2024 November,"2,923.68","2,915.61","42,831"
2024 October,"2,959.76","2,929.81","51,239"
2024 September,"3,136.43","3,107.59","69,828"
2023 August,"3,572.91","3,485.45","74,056"
2023 July,"3,097.21","3,023.79","77,517"
2023 June,"3,643.95","3,584.38","81,938"
2023 May,"3,759.45","3,741.69","88,174"
2023 April,"4,371.03","4,316.74","115,734"
2023 March,"3,974.30","3,961.89","142,528"
2023 February,"3,644.23","3,628.55","150,299"
2023 January,"3,609.95","3,579.85","177,535"
2024 December,"3,407.88","3,355.62","184,646"
2024 November,"3,317.30","3,262.41","180,774"
2024 October,"3,370.14","3,341.57","197,049"
2024 September,"3,042.02","3,053.48","225,582"
2023 August,"2,988.90","2,995.52","240,311"
2023 July,"2,942.98","2,958.11","249,294"
2023 June,"2,950.07","2,965.48","265,431"
2023 May,"2,970.29","2,985.50","287,862"
2023 April,"2,827.35","2,846.80","286,986"
2023 March,"2,791.65","2,808.54","268,272"
2023 February,"2,743.20","2,761.93","282,660"
2023 January,"2,707.70","2,730.95","214,313"
2024 December,"2,782.36","2,809.14","212,501"
2024 November,"2,669.69","2,682.26","220,610"
2024 October,"2,441.55","2,458.41","218,603"
2024 September,"2,450.50","2,471.50","219,340"
2023 August,"2,406.83","2,426.23","211,146"
2023 July,"2,162.24","2,172.89","137,825"
2023 June,"2,020.61","2,027.57","114,724"
2023 May,"1,963.39","1,964.63","101,809"
2023 April,"1,894.08","1,906.18","91,949"
2023 March,"1,905.61","1,921.14","74,248"
2023 February,"2,120.48","2,130.05","68,996"
2023 January,"2,357.27","2,342.14","50,817"
2024 December,"2,274.03","2,268.70","55,498"
2024 November,"2,432.95","2,394.43","55,325"
2024 October,"2,445.59","2,411.72","61,341"
2024 September,"2,319.64","2,309.05","64,014"
2023 August,"2,275.14","2,278.50","73,674"
2023 July,"2,441.48","2,431.70","81,960"
2023 June,"2,602.13","2,483.63","99,518"
2023 May,"2,747.74","2,615.45","99,399"
2023 April,"2,938.75","2,846.48","62,554"
2023 March,"2,851.40","2,811.45","58,626"
2023 February,"2,702.85","2,690.18","94,395"
2023 January,"2,559.18","2,538.11","122,348"
2024 December,"2,625.61","2,550.39","121,096"
2024 November,"2,592.86","2,519.14","128,057"
2024 October,"2,671.87","2,631.89","180,037"
2024 September,"2,433.20","2,432.95","219,668"
2023 August,"2,510.52","2,498.57","243,251"
2023 July,"2,658.73","2,620.16","245,081"
2023 June,"3,091.76","3,058.50","247,263"
2023 May,"3,057.86","3,068.31","233,526"
2023 April,"3,190.93","3,196.58","202,515"
2023 March,"3,280.48","3,275.50","200,479"
2023 February,"3,539.78","3,499.40","153,439"
2023 January,"3,447.20","3,412.80","179,268"
2024 December,"3,192.47","3,188.71","195,729"
2024 November,"3,236.16","3,197.61","231,274"
2024 October,"3,273.95","3,211.66","262,465"
2024 September,"3,119.79","3,103.98","255,619"
2023 August,"2,981.84","2,992.30","254,001"
2023 July,"2,785.10","2,789.86","273,356"
2023 June,"2,571.93","2,583.39","313,317"
2023 May,"2,590.24","2,598.40","342,080"
2023 April,"2,633.03","2,649.75","360,449"
2023 March,"2,781.74","2,798.11","379,223"
2023 February,"2,848.43","2,849.70","387,699"
2023 January,"2,713.00","2,727.74","416,943"
2024 December,"2,671.70","2,689.98","433,858"
2024 November,"2,568.84","2,582.20","446,310"
2024 October,"2,314.14","2,323.55","453,681"
2024 September,"2,292.80","2,299.68","445,719"
2023 August,"2,282.77","2,282.77","447,902"
2023 July,"2,184.83","2,188.62","438,535"
2023 June,"2,023.00","2,028.48","396,085"
2023 May,"1,871.20","1,877.53","390,025"
2023 April,"1,851.52","1,861.79","418,893"
2023 March,"1,804.64","1,809.31","454,554"
2023 February,"1,710.83","1,710.29","478,327"
2023 January,"1,512.20","1,520.75","464,334"
2024 December,"1,522.10","1,540.31","502,860"
2024 November,"1,582.29","1,603.90","557,604"
2024 October,"1,728.05","1,750.73","584,786"
2024 September,"1,718.91","1,732.45","578,747"
2023 August,"1,809.93","1,815.30","476,004"
2023 July,"2,002.07","2,007.89","453,298"
2023 June,"2,087.45","2,096.64","458,485"
2023 May,"2,289.63","2,284.11","454,204"
2023 April,"2,206.90","2,209.88","495,076"
2023 March,"2,029.05","2,044.05","534,818"
2023 February,"2,103.13","2,114.33","595,925"
2023 January,"2,110.64","2,119.55","659,807"
2024 December,"2,171.71","2,181.62","682,690"
2024 November,"2,259.43","2,263.73","684,863"
2024 October,"2,272.70","2,275.85","724,993"
2024 September,"2,294.05","2,302.48","748,584"
2023 August,"2,329.23","2,331.43","711,856"
2023 July,"2,311.02","2,310.04","658,735"
2023 June,"2,126.79","2,131.52","685,346"
2023 May,"2,060.30","2,064.05","746,431"
2023 April,"2,030.60","2,038.15","808,848"
2023 March,"2,014.40","2,009.33","780,057"
2023 February,"2,035.40","2,028.73","803,886"
2023 January,"2,038.41","2,041.64","889,634"
2024 December,"1,974.20","1,979.00","920,381"
2024 November,"1,868.67","1,899.21","997,133"
2024 October,"1,882.83","1,920.33","1,026,941"
2024 September,"1,848.43","1,887.71","981,930"
2023 August,"1,894.62","1,933.79","1,036,361"
2023 July,"1,835.89","1,870.28","1,043,751"
2023 June,"1,839.23","1,874.40","1,081,289"
2023 May,"1,829.02","1,862.83","1,080,686"
2023 April,"1,852.90","1,888.36","1,121,564"
2023 March,"1,935.90","1,962.40","1,197,644"
2023 February,"2,129.28","2,151.25","1,191,916"
2023 January,"2,033.16","2,058.09","1,216,519"
2024 December,"2,037.58","2,065.55","1,228,263"
2024 November,"1,904.30","1,933.89","1,176,047"
2024 October,"1,911.78","1,949.96","1,066,591"
2024 September,"2,002.10","2,030.83","950,496"
2023 August,"1,813.80","1,832.52","975,399"
2023 July,"1,851.18","1,854.86","997,560"
2023 June,"1,855.79","1,856.87","967,861"
2023 May,"1,930.02","1,933.73","936,581"
2023 April,"1,996.74","2,004.34","905,472"
2023 March,"2,034.55","2,048.82","877,295"
2023 February,"2,058.21","2,075.55","849,399"
2023 January,"1,980.69","1,994.86","832,623"
2024 December,"1,916.38","1,923.03","775,529"
2024 November,"1,916.11","1,923.16","754,019"
2024 October,"1,859.17","1,880.76","797,894"
2024 September,"2,076.77","2,100.16","838,133"
2023 August,"2,211.82","2,239.95","876,265"
2023 July,"2,390.55","2,419.07","882,577"
2023 June,"2,230.48","2,251.75","865,032"
2023 May,"2,160.43","2,180.85","838,839"
2023 April,"2,372.39","2,389.44","765,661"
2023 March,"2,349.24","2,371.11","730,507"
2023 February,"2,465.13","2,489.53","709,198"
2023 January,"2,371.55","2,384.00","708,361"
2024 December,"2,280.93","2,289.79","671,921"
2024 November,"2,291.68","2,310.55","632,419"
2024 October,"2,372.14","2,401.36","610,923"
2024 September,"2,151.41","2,177.98","619,677"
2023 August,"2,044.57","2,074.93","619,474"
2023 July,"1,843.89","1,872.57","618,070"
2023 June,"1,742.84","1,775.95","617,289"
2023 May,"1,968.37","2,002.29","579,930"
2023 April,"2,366.68","2,398.88","545,245"
2023 March,"2,275.07","2,303.72","540,753"
2023 February,"2,156.90","2,172.78","516,444"
2023 January,"2,434.45","2,459.13","490,804"
2024 December,"2,375.95","2,411.60","462,635"
2024 November,"2,193.38","2,220.67","438,267"
2024 October,"2,071.59","2,094.95","430,463"
2024 September,"1,884.02","1,908.09","436,161"
2023 August,"1,821.68","1,850.75","431,386"
2023 July,"1,578.61","1,603.02","358,340"
2023 June,"1,557.27","1,584.18","333,986"
2023 May,"1,483.79","1,509.18","323,012"
2023 April,"1,378.85","1,407.60","344,765"
2023 March,"1,216.75","1,244.20","347,170"
2023 February,"1,112.08","1,136.18","352,390"
2023 January,"1,187.40","1,211.76","281,501"
2024 December,"1,100.57","1,119.33","226,054"
2024 November,"1,149.14","1,164.36","184,652"
2024 October,"1,302.11","1,335.67","168,334"
2024 September,"1,735.48","1,759.89","158,074"
2023 August,"1,723.28","1,738.13","163,348"
2023 July,"1,852.37","1,869.85","152,415"
2023 June,"1,894.48","1,914.15","146,801"
2023 May,"2,182.10",-,"128,655"
2023 April,"2,263.80",-,"128,291"
2023 March,"2,511.47",-,"123,436"
2023 February,"2,438.14","2,409.62","117,892"
2023 January,"2,340.11","2,357.34","100,681"
